parameter_set,model_type,condition,reference_condition,feature_id,Q_Ah,tau_factor_set,omega_tau_set,period_s,phase_norm,cycle_count,delta_x_inst,x_DCAC_cycle_mean,x_DC_window_mean,delta_x_cycle_mean,x_DCAC_cycle_amp,window_valid
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_minus_avg_sto,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,0.004523107373957212,0.0045029600078039566,0.004949439327358476,-0.0004464793195545196,0.012516083704702266,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_surface_minus_avg_sto,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,-0.009565670146012593,-0.017964707101040134,-0.018896419052275244,0.0009317119512351098,0.021651758954993938,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_sto_range,0.2,0.5,2.0,114.09175086262731,0.4714822434748409,3.471482243474841,0.0037568084703898733,0.005723297763895626,0.004588039265420565,0.0011352584984750608,0.005102948853246997,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_sto,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,-3.109388719063633e-05,0.10939257471719716,0.11174246323547653,-0.002349888518279372,0.010697959976460475,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_surface_sto,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,0.006022015867389138,0.11388782396404543,0.11669214934729838,-0.0028043253832529536,0.020988457436083338,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_max_surface_sto,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,0.008876103050919862,0.11774287716913302,0.11976783315644979,-0.002024955987316765,0.024464036994987795,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_min_surface_sto,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,0.004688574911212134,0.11189278694138823,0.11504996021679863,-0.003157173275410402,0.01933445271376516,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_sto,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,2.0750869899055502e-05,0.7985524300902741,0.7969842044573464,0.001568225632927689,0.007139408922854695,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_surface_sto,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,-0.010839111235886545,0.7798396923491214,0.7773947023522315,0.0024449899968899125,0.02872774025629843,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_mean,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,-18.743416366164183,984.7661264064326,983.0912763638597,1.6748500425728707,39.05994135327319,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_range,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,397.8025635139619,343.13246489104966,352.29862293706844,-9.16615804601878,746.1822305200284,True
