param_set,arm,t_s,V_V,I_A,Q_Ah,stage,Vmax_cutoff_V,I_cutoff_A,termination_method,initial_soc
Chen2020,DC_reference,1570.0,3.4677414827664608,-1.0,0.4361111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1580.0,3.468851967586204,-1.0,0.4388888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1590.0,3.4699471391118175,-1.0,0.44166666666666665,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1600.0,3.471027120048612,-1.0,0.4444444444444444,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1610.0,3.4720920501367627,-1.0,0.44722222222222224,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1620.0,3.473142048038593,-1.0,0.45,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1630.0,3.474177289787737,-1.0,0.4527777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1640.0,3.4751978767636214,-1.0,0.45555555555555555,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1650.0,3.4762039751659475,-1.0,0.4583333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1660.0,3.4771957803854914,-1.0,0.46111111111111114,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1670.0,3.478173542466634,-1.0,0.4638888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1680.0,3.4791372963159874,-1.0,0.4666666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1690.0,3.4800872800293075,-1.0,0.46944444444444444,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1700.0,3.4810236802112646,-1.0,0.4722222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1710.0,3.4819465988169576,-1.0,0.475,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1720.0,3.4828563646664525,-1.0,0.4777777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1730.0,3.483752968644861,-1.0,0.48055555555555557,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1740.0,3.4846368524433444,-1.0,0.48333333333333334,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1750.0,3.4855079192605967,-1.0,0.4861111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1760.0,3.4863665620604873,-1.0,0.4888888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1770.0,3.4872129682380586,-1.0,0.49166666666666664,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1780.0,3.4880474388955527,-1.0,0.49444444444444446,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1790.0,3.4888699755380985,-1.0,0.49722222222222223,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1800.0,3.489680856154314,-1.0,0.5,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1810.0,3.490480289145893,-1.0,0.5027777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1820.0,3.4912684726965675,-1.0,0.5055555555555555,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1830.0,3.4920456258384682,-1.0,0.5083333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1840.0,3.492811944901857,-1.0,0.5111111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1850.0,3.493567635712166,-1.0,0.5138888888888888,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1860.0,3.494312903135111,-1.0,0.5166666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1870.0,3.495047952286129,-1.0,0.5194444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1880.0,3.4957728983043252,-1.0,0.5222222222222223,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
