condition,Q_Ah,t_q_s,neg_avg_sto,neg_avg_surface_sto,neg_max_surface_sto,neg_min_surface_sto,pos_avg_sto,pos_avg_surface_sto,elyte_c_mean,elyte_c_range,eta_n_mean,eta_p_mean,j_n_rms,j_p_rms,cell_temperature_K,total_heating_mean,neg_surface_minus_avg_sto,pos_surface_minus_avg_sto,neg_surface_sto_range
DC03_AC07_f000412,1.0981385705350646,985.4659918707922,0.259017152932318,0.27109048338268676,0.3213989984258803,0.24434654998689845,0.6986987148830849,0.6419547265088433,961.154010627516,853.0750550769291,-0.07582290595966601,0.008100464407997257,-1.0265466338607259,1.1622752439404986,298.15,0.0,0.012073330450368812,-0.056743988374241584,0.07705244843898189
DC03_AC07_f000412,1.1371880736018065,1028.2735978974924,0.26571774555694994,0.276752199784734,0.32652089477792695,0.25046382898129643,0.6942269958938598,0.6402373498338676,964.0122139506792,785.1450044669746,-0.07005665232788956,0.007371159667041364,-0.9272929932114878,1.0498984209575177,298.15,0.0,0.011034454227784044,-0.0539896460599922,0.07605706579663055
DC03_AC07_f000412,1.1762375766685484,1076.45272274588,0.27241827337663016,0.28219488118088626,0.3311840179396505,0.2565404849889306,0.6897553201529787,0.6393360016280126,967.5929149062429,701.7916812962604,-0.06278601477019789,0.006492330894611237,-0.8085933848966536,0.9155045106373115,298.15,0.0,0.009776607804256113,-0.05041931852496607,0.0746435329507199
DC03_AC07_f000412,1.2152870797352904,1133.3442995462387,0.2791186936884872,0.287315036371283,0.33515109428231327,0.2625201572498321,0.6852837161587014,0.6396484307113505,972.2437024915389,596.1227495784298,-0.053098384502203166,0.005384872715406997,-0.6613343258991838,0.7487750576419271,298.15,0.0,0.008196342682795794,-0.04563528544735089,0.07263093703248116
DC03_AC07_f000412,1.2543365828020323,1207.788032983378,0.2858188833487245,0.29184677582783597,0.3378088193355004,0.2683017079941358,0.6808122660924861,0.6422002593895637,978.8641976636296,450.0589747993943,-0.038630167292868896,0.0038442014829239697,-0.4621263466101946,0.523228068283163,298.15,0.0,0.006027892479111468,-0.03861200670292249,0.06950711134136461
DC03_AC07_f000412,1.2933860858687742,2770.6711022283816,0.2925220256872737,0.3057855645605085,0.3325118840946928,0.29287335281898547,0.6763388455218126,0.6351285005156991,959.2683314265769,891.6926882599214,-0.08337776693977189,0.009811565438400977,-1.255464786724548,1.421460682809765,298.15,0.0,0.013263538873234752,-0.04121034500611338,0.03963853127570733
DC03_AC07_f000412,1.3324355889355162,2803.3043918227145,0.2992228715165731,0.3131243849808668,0.34352839925798334,0.2987208938737337,0.6718669575534859,0.6276077681144854,957.6608172201995,933.1091882186873,-0.08544639698264127,0.010127873617097452,-1.307961136920925,1.4808979291306041,298.15,0.0,0.01390151346429371,-0.0442591894390006,0.04480750538424968
DC03_AC07_f000412,1.371485092002258,2834.7455062523213,0.3059237086239743,0.3203795538206984,0.35479263970221453,0.30440142988410185,0.6673950754058199,0.6203508594963613,956.3164695818799,968.7420644749428,-0.0871088203583173,0.010390377302706076,-1.35273252740619,1.5315889959763012,298.15,0.0,0.014455845196724137,-0.04704421590945858,0.05039120981811269
DC03_AC07_f000412,1.410534595069,2865.2420378268953,0.31262452848959593,0.3275579635153313,0.3663088625228624,0.30992304760523876,0.6629232047646589,0.6133382210057279,955.2058747690439,999.0575677832394,-0.08841934604476707,0.010605165275877824,-1.3904297885213142,1.5742705171231421,298.15,0.0,0.014933435025735357,-0.0495849837589311,0.056385814917623615
DC03_AC07_f000412,1.449584098135742,2894.9928184454293,0.3193253377220466,0.3346647894634935,0.37806226860186426,0.31529586318537245,0.6584513412196675,0.6065553936563901,954.3046130165216,1024.422389681647,-0.08942026403263424,0.010776775281583703,-1.4215418538953177,1.6094961664422953,298.15,0.0,0.015339451741446896,-0.05189594756327748,0.06276640541649184
