parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_model_s,t_DCAC_model_s,delta_t_model_s,delta_t_model_min,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.4690873520318004,0.2938174704063601,0.34381747040636007,3525.809644876321,3063.9715558971843,461.8380889791365,7.697301482985608,3525.8096448763213,3063.966294578404,461.84335029791737,7.697389171631956,-0.005261318780867441,-8.768864634779068e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.5041921559300517,0.30083843118601034,0.3508384311860103,3610.0611742321244,3104.2656953014884,505.7954789306359,8.429924648843931,3610.0611742321244,3104.254980975636,505.8061932564883,8.430103220941472,-0.010714325852404727,-0.0001785720975400788,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.539296959828303,0.3078593919656606,0.3578593919656606,3694.3127035879274,3590.311912260133,104.00079132779456,1.7333465221299094,3694.3127035879274,3590.312053929834,104.00064965809361,1.7333441609682267,0.00014166970095175202,2.3611616825292004e-06,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.5744017637265542,0.31488035274531084,0.36488035274531083,3778.56423294373,3618.1728676171365,160.3913653265936,2.673189422109893,3778.56423294373,3618.1718717568306,160.3923611868995,2.6732060197816585,-0.0009958603059203597,-1.659767176533933e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.6095065676248055,0.3219013135249611,0.3719013135249611,3862.815762299533,3644.165238322693,218.6505239768403,3.644175399614005,3862.815762299533,3644.163586750972,218.652175548561,3.64420292580935,-0.0016515717206857516,-2.752619534476253e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.6446113715230568,0.32892227430461135,0.37892227430461134,3947.0672916553362,3669.4957620301143,277.57152962522196,4.6261921604203655,3947.0672916553362,3669.4933415878377,277.5739500674986,4.626232501124976,-0.002420442276616086,-4.03407046102681e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.6797161754213081,0.3359432350842616,0.3859432350842616,4031.31882101114,3695.12517394662,336.1936470645196,5.603227451075327,4031.31882101114,3695.1214174053703,336.1974036057695,5.603290060096159,-0.0037565412499134254,-6.260902083189042e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.7148209793195595,0.3429641958639119,0.3929641958639119,4115.570350366943,3722.118306153241,393.4520442137018,6.557534070228363,4115.570350366943,3722.1143701252686,393.4559802416743,6.557599670694572,-0.003936027972486045,-6.560046620810075e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.7499257832178108,0.34998515664356217,0.39998515664356216,4199.8218797227455,3752.131164675207,447.69071504753856,7.461511917458976,4199.8218797227455,3752.1258230554,447.6960566673456,7.46160094445576,-0.005341619807040843,-8.902699678401405e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.7850305871160619,0.35700611742321237,0.40700611742321235,4284.073409078549,3788.927834630581,495.1455744479681,8.252426240799469,4284.073409078549,3788.9161909157224,495.15721816282667,8.252620302713778,-0.011643714858564636,-0.00019406191430941058,0.1,4.2774716638919035,0.1,0.25
