case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,n_AC_reversals_steps,pct_AC_reversals,status,condition,tau_label,round,tau_Chen_s,f_Hz_v01,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
DC0.90C+AC0.10C_f0.00048Hz,0.9,0.1,0.00048407707910750507,0.11111111111111112,1.1030018329620361,3065.8230672944046,4752.548936896646,7818.372004191051,51.09705112157341,79.20914894827744,130.30620006985086,5125.440581221396,31.695199414100443,0.0,0.0,ok,0.9+0.1C 16.7τ,16.7τ,R3,19.72,0.00086,,,
DC0.90C+AC0.10C_f0.00484Hz,0.9,0.1,0.004840770791075051,0.11111111111111112,1.0217769145965576,2997.5593093906973,4754.749070572681,7752.308379963379,49.959321823178286,79.24581784287803,129.2051396660563,5125.427840199871,31.559942024109603,0.0,0.0,ok,0.9+0.1C 1.67τ,1.67τ,R3,19.72,0.0086,,,
DC0.90C+AC0.10C_f0.00080Hz,0.9,0.1,0.0008049188640973632,0.11111111111111112,1.1096808910369873,3052.6217326273654,4732.031560831932,7784.653293459298,50.877028877122754,78.86719268053221,129.74422155765495,5125.497709689191,31.72634441082772,0.0,0.0,ok,0.9+0.1C 10τ,10τ,R3,19.72,0.00143,,,
DC0.90C+AC0.10C_f0.00805Hz,0.9,0.1,0.008049188640973632,0.11111111111111112,1.0689098834991455,2941.5302514193645,4807.356011005781,7748.886262425145,49.02550419032274,80.12260018342968,129.14810437375243,5125.350023676401,31.503830825477507,0.0,0.0,ok,0.9+0.1C 1τ,1τ,R3,19.72,0.0143,,,
DC0.10C_baseline,0.1,0.0,0.0,0.0,1.1336877346038818,36025.57172325896,2104.0155463891715,38129.58726964813,600.4261953876493,35.06692577315286,635.4931211608022,5126.313074640761,20.31536535481598,0.0,0.0,ok,0.1C_DC,baseline,R3,19.72,0.0,,,
DC0.20C_baseline,0.2,0.0,0.0,0.0,1.0244708061218262,17512.350031736467,2872.6155004180728,20384.96553215454,291.8725005289411,47.87692500696788,339.749425535909,5126.330541890452,21.01448955860934,0.0,0.0,ok,0.2C_DC,baseline,R3,19.72,0.0,,,
DC0.30C_baseline,0.3,0.0,0.0,0.0,1.102203130722046,11345.449198764976,3315.7676974956994,14661.216896260676,189.09081997941627,55.26279495826166,244.35361493767792,5125.988242972963,21.954979483666364,0.0,0.0,ok,0.3C_DC,baseline,R3,19.72,0.0,,,
DC0.40C_baseline,0.4,0.0,0.0,0.0,0.9997279644012451,8245.777916981073,3650.013876587511,11895.791793568584,137.42963194968453,60.83356460979185,198.2631965594764,5125.895173088575,23.084276586466842,0.0,0.0,ok,0.4C_DC,baseline,R3,19.72,0.0,,,
DC0.50C_baseline,0.5,0.0,0.0,0.0,1.1097710132598877,6332.408742196827,3964.6545512499742,10297.063293446801,105.54014570328044,66.07757585416624,171.61772155744669,5125.986010082342,24.44427743009146,0.0,0.0,ok,0.5C_DC,baseline,R3,19.72,0.0,,,
DC0.90C_baseline,0.9,0.0,0.0,0.0,0.9958608150482178,2976.8591136879877,4770.210812004494,7747.069925692482,49.61431856146646,79.50351353340824,129.1178320948747,5125.246538546686,31.467021456707926,0.0,0.0,ok,0.9C_DC,baseline,R3,19.72,0.0,,,
DC0.20C+AC0.80C_f0.00080Hz,0.2,0.8,0.0008049188640973632,4.0,0.8491411209106445,,,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.2+0.8C 10τ,10τ,R3,19.72,0.00143,231.22271133659888,20.853443371333412,1.4999999999990283
