t_s,V_terminal_V,I_py_A,I_charge_A,Q_net_Ah,t_rel_s,V_fit_V,qfrac_target
10122.075757248313,4.037205080629638,0.0,-0.0,3.8314589937762205,626.6025915291739,4.037174038650425,0.85
10123.057285601273,4.037201300033752,0.0,-0.0,3.8314589937762205,627.5841198821345,4.037170430042338,0.85
10123.32970163631,4.037200253006753,0.0,-0.0,3.8314589937762205,627.8565359171716,4.037169430731192,0.85
10123.602117671348,4.037199206846174,0.0,-0.0,3.8314589937762205,628.1289519522088,4.037168432387957,0.85
10124.146949741422,4.037197116625688,0.0,-0.0,3.8314589937762205,628.6737840222831,4.03716643860147,0.85
10125.136796136525,4.0371933279847365,0.0,-0.0,3.8314589937762205,629.6636304173862,4.037162826179337,0.85
10125.407132661026,4.0371922954896835,0.0,-0.0,3.8314589937762205,629.9339669418878,4.03716184180159,0.85
10125.677469185528,4.037191263842152,0.0,-0.0,3.8314589937762205,630.2043034663893,4.037160858370017,0.85
10126.218142234533,4.037189202602869,0.0,-0.0,3.8314589937762205,630.7449765153942,4.037158894341747,0.85
10127.216306671775,4.037185406158438,0.0,-0.0,3.8314589937762205,631.7431409526362,4.037155278356904,0.85
10127.484563685743,4.0371843880518785,0.0,-0.0,3.8314589937762205,632.0113979666039,4.037154308746774,0.85
10127.75282069971,4.037183370773998,0.0,-0.0,3.8314589937762205,632.2796549805716,4.037153340061456,0.85
10128.289334727644,4.037181338228223,0.0,-0.0,3.8314589937762205,632.8161690085053,4.037151405461729,0.85
10129.295817207027,4.037177534220216,0.0,-0.0,3.8314589937762205,633.8226514878879,4.037147786162019,0.85
10129.561994710459,4.03717653035892,0.0,-0.0,3.8314589937762205,634.08882899132,4.037146831155354,0.85
10129.82817221389,4.037175527308785,0.0,-0.0,3.8314589937762205,634.3550064947522,4.037145877052515,0.85
10130.360527220753,4.03717352317353,0.0,-0.0,3.8314589937762205,634.8873615016146,4.037143971554892,0.85
10131.375327742277,4.037169711838786,0.0,-0.0,3.8314589937762205,635.9021620231379,4.037140349184707,0.85
10131.639425735173,4.03716872208158,0.0,-0.0,3.8314589937762205,636.1662600160344,4.037139408618973,0.85
10131.90352372807,4.03716773311754,0.0,-0.0,3.8314589937762205,636.4303580089309,4.037138468936447,0.85
10132.431719713863,4.037165757111753,0.0,-0.0,3.8314589937762205,636.9585539947238,4.037136592217698,0.85
10133.454838277528,4.037161938683056,0.0,-0.0,3.8314589937762205,637.9816725583896,4.037132967018013,0.85
10133.71685675989,4.037160962890573,0.0,-0.0,3.8314589937762205,638.2436910407505,4.037132040732277,0.85
10133.97887524225,4.037159987873363,0.0,-0.0,3.8314589937762205,638.5057095231114,4.037131115309494,0.85
10134.502912206972,4.037158039717985,0.0,-0.0,3.8314589937762205,639.0297464878331,4.037129267049571,0.85
10135.534348812778,4.037154214427545,0.0,-0.0,3.8314589937762205,640.0611830936396,4.03712563925798,0.85
10135.794287784604,4.037153252460749,0.0,-0.0,3.8314589937762205,640.3211220654648,4.037124727092899,0.85
10136.054226756429,4.037152291251855,0.0,-0.0,3.8314589937762205,640.58106103729,4.037123815770873,0.85
10136.574104700081,4.0371503706717515,0.0,-0.0,3.8314589937762205,641.1009389809424,4.037121995652875,0.85
10137.61385934803,4.037146538746416,0.0,-0.0,3.8314589937762205,642.1406936288913,4.037118365503634,0.85
10137.871718809321,4.0371455904687465,0.0,-0.0,3.8314589937762205,642.3985530901828,4.037117467301434,0.85
10138.129578270613,4.037144642930889,0.0,-0.0,3.8314589937762205,642.6564125514742,4.037116569922747,0.85
10138.645297193194,4.037142749652851,0.0,-0.0,3.8314589937762205,643.1721314740553,4.037114777632892,0.85
10139.676735038356,4.0371389721185835,0.0,-0.0,3.8314589937762205,644.2035693192174,4.037111202902163,0.85
10139.69336988328,4.03713891128419,0.0,-0.0,3.8314589937762205,644.2202041641413,4.037111145356949,0.85
10139.949149834036,4.037137976557931,0.0,-0.0,3.8314589937762205,644.4759841148971,4.037110260961416,0.85
10140.204929784792,4.037137042556271,0.0,-0.0,3.8314589937762205,644.7317640656529,4.037109377370202,0.85
10140.716489686303,4.037135176307702,0.0,-0.0,3.8314589937762205,645.2433239671645,4.037107612597803,0.85
10141.739609489325,4.0371314526324635,0.0,-0.0,3.8314589937762205,646.266443770186,4.037104092672683,0.85
10141.772880418532,4.037131331719726,0.0,-0.0,3.8314589937762205,646.299714699393,4.037103978422836,0.85
10142.026580858752,4.037130410411256,0.0,-0.0,3.8314589937762205,646.5534151396132,4.037103107679302,0.85
10142.280281298972,4.037129489810514,0.0,-0.0,3.8314589937762205,646.8071155798334,4.037102237721234,0.85
10142.787682179413,4.0371276503247255,0.0,-0.0,3.8314589937762205,647.3145164602738,4.037100500158666,0.85
10143.802483940293,4.037123979973622,0.0,-0.0,3.8314589937762205,648.3293182211546,4.037097034428,0.85
10143.852390953782,4.037123799736969,0.0,-0.0,3.8314589937762205,648.379225234643,4.03709686430912,0.85
10144.104011883466,4.037122891711958,0.0,-0.0,3.8314589937762205,648.6308461643275,4.037096007064442,0.85
10144.35563281315,4.037121984379037,0.0,-0.0,3.8314589937762205,648.8824670940121,4.037095150586718,0.85
10144.85887467252,4.037120171389207,0.0,-0.0,3.8314589937762205,649.3857089533813,4.037093439929391,0.85
