policy_id,condition,case_role,Q_Ah,t_DC_s,t_protocol_s,delta_t_raw_s,t_DC_geom_s,t_protocol_geom_s,delta_t_geom_s,delta_t_resid_s
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.6309728278195967,6314.334786767014,6246.011652039344,68.32313472766964,6314.334786767032,6245.999208760218,68.3355780068141,-0.012443279144463304
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.663823811979321,6393.177148750354,6282.192268247528,110.98488050282594,6393.17714875037,6282.175762873463,111.00138587690708,-0.016505374081134505
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.696674796139045,6472.019510733695,6334.103027237196,137.91648349649859,6472.019510733709,6334.066602696272,137.95290803743683,-0.03642454093824199
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.7295257802987694,6550.861872717028,6537.5955632003825,13.266309516645379,6550.861872717047,6537.58594885435,13.2759238626968,-0.009614346051421307
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.7623767644584936,6629.704234700363,6576.355735615718,53.34849908464457,6629.704234700384,6576.343326082361,53.36090861802313,-0.01240953337855899
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.7952277486182178,6708.546596683702,6611.569121407978,96.97747527572392,6708.546596683723,6611.555180010781,96.99141667294134,-0.013941397217422491
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.828078732777942,6787.388958667046,6654.1300604222315,133.2588982448142,6787.38895866706,6654.108049675083,133.2809089919774,-0.022010747163221822
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.8609297169376666,6866.231320650378,6862.804638098088,3.4266825522900035,6866.2313206503995,6862.786459998363,3.4448606520363683,-0.01817809974636475
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.893780701097391,6945.073682633713,6906.351997879989,38.72168475372473,6945.073682633739,6906.338302974571,38.73537965916785,-0.013694905443117023
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.926631685257115,7023.9160446170545,6941.644569978102,82.2714746389529,7023.916044617076,6941.629947814108,82.28609680296813,-0.014622164015236194
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.9594826694168392,7102.758406600391,6979.903594032974,122.85481256741696,7102.758406600415,6979.8829682404275,122.87543835998713,-0.020625792570172052
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,2.9923336535765634,7181.600768583737,7181.0960042943,0.5047642894369346,7181.600768583752,7181.078413849171,0.5223547345813131,-0.017590445144378464
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.0251846377362877,7260.443130567077,7235.575084870933,24.86804569614378,7260.4431305670905,7235.559544855068,24.883585712022068,-0.015540015878286795
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.0580356218960123,7339.285492550418,7272.011467262402,67.27402528801576,7339.28549255043,7271.997651470083,67.28784108034688,-0.013815792331115517
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.0908866060557365,7418.127854533758,7308.086223092305,110.04163144145332,7418.127854533767,7308.069043593261,110.05881094050619,-0.017179499052872416
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.1237375902154607,7496.970216517099,7359.016756324752,137.95346019234694,7496.970216517107,7358.971623498417,137.99859301868946,-0.04513282634252391
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.156588574375185,7575.812578500436,7566.257904059607,9.554674440828421,7575.812578500444,7566.237257651337,9.575320849106902,-0.02064640827848052
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.189439558534909,7654.654940483774,7616.159002702308,38.49593778146664,7654.654940483782,7616.1408206926235,38.51411979115892,-0.01818200969228201
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.2222905426946333,7733.4973024671135,7666.260494453242,67.23680801387127,7733.49730246712,7666.236728701,67.2605737661197,-0.02376575224843691
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.255141526854358,7812.33966445045,7753.236538225482,59.10312622496804,7812.339664450459,7753.167351674397,59.17231277606243,-0.06918655109438987
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.287992511014082,7891.182026433791,7887.885220627804,3.296805805986878,7891.182026433797,7887.861143212988,3.320883220808355,-0.02407741482147685
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.3208434951738064,7970.024388417129,7942.203847989544,27.820540427585,7970.024388417135,7942.185432320666,27.83895609646879,-0.018415668883790204
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.3536944793335306,8048.866750400472,7990.352461862667,58.51428853780453,8048.866750400473,7990.331701320509,58.535049079964665,-0.0207605421601329
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.386545463493255,8127.709112383816,8053.929889015036,73.77922336878055,8127.709112383812,8053.8864503102095,73.82266207360226,-0.04343870482171042
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.419396447652979,8206.551474367157,8204.039395851367,2.512078515790563,8206.55147436715,8204.012555328354,2.538919038795939,-0.02684052300537587
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,3.4522474318127037,8285.393836350495,8267.663164465454,17.730671885041374,8285.39383635049,8267.643784407199,17.7500519432906,-0.01938005824922584
sched_v4_aggressive,Chen2020_DFN_Day35_sched_v4_aggressive,scheduled_v4_aggressive,0.2,479.9999999999992,420.4022728566911,59.59772714330808,480.0,420.39987450820416,59.600125491795836,-0.0023983484877589945
