reference_protocol,protocol,Q_net_Ah,t_ref_min,t_protocol_min,Delta_t_Q_min
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5277572002301596,89.87746927217715,89.89379229042983,-0.016323018252677457
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5293876774982815,89.97338944037045,90.00280102763504,-0.029411587264590366
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5310181547664032,90.06930984427581,90.11164911190038,-0.04233926762456974
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5326486320345252,90.16523002032906,90.14844036268906,0.016789657640003952
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5342791093026469,90.26115030784338,90.25400224064063,0.0071480672027490755
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5359095865707688,90.35707046977596,90.36323707523727,-0.0061666054613027654
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5375400638388907,90.45299140215671,90.47231643233918,-0.019325030182471892
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5391705411070125,90.54891172379864,90.58144412258073,-0.03253239878209513
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5408010183751344,90.64483231043765,90.69067866414684,-0.04584635370919443
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.542431495643256,90.74075276043784,90.7246793665779,0.016073393859940666
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.544061972911378,90.83667274374312,90.83288964790513,0.003783095837988526
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5456924501794997,90.93259280070487,90.94167239372331,-0.009079593018441301
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5473229274476217,91.0285127614436,91.05086993483643,-0.02235717339283383
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5489534047157434,91.12443329584084,91.16028811513482,-0.035854819293973605
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5505838819838653,91.22035391147381,91.20138565746916,0.018968254004647633
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5522143592519873,91.3162739179737,91.30304199124487,0.01323192672883522
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.553844836520109,91.412194442128,91.41141909548807,0.0007753466399265108
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.555475313788231,91.50811532570917,91.5201531077465,-0.012037782037324973
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5571057910563526,91.60403576465347,91.62971619102187,-0.02568042636839607
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5587362683244745,91.69995617322266,91.7390270447305,-0.03907087150784605
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5603667455925962,91.79587645819772,91.77552563195745,0.020350826240274955
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5619972228607182,91.89179721414042,91.88180998697798,0.009987227162440604
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5636277001288401,91.98771750961707,91.98948814080784,-0.0017706311907659256
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5652581773969618,92.08363845955249,92.09908931043076,-0.01545085087826692
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5668886546650838,92.17955913012979,92.20868874809891,-0.029129617969118726
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5685191319332055,92.2754796229588,92.31685609564742,-0.041376472688625654
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5701496092013274,92.37140065057767,92.35314539764609,0.018255252931581367
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5717800864694491,92.4673216590301,92.45988264177731,0.007439017252792723
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.573410563737571,92.56324252696915,92.568447482808,-0.005204955838848946
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5750410410056928,92.65916373201044,92.6779785197297,-0.018814787719264814
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5766715182738147,92.75508536291856,92.7870200071148,-0.031934644196240924
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5783019955419366,92.85100742228747,92.89543488618737,-0.04442746389990759
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5799324728100583,92.94692897454081,92.93152437037189,0.01540460416892131
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5815629500781803,93.04285035980355,93.03794690247948,0.004903457324076044
