protocol_pair,Q_Ah,dt_raw_s,dt_geom_prescribed_s,dt_resid_prescribed_s,dt_geom_fitted_s,dt_resid_fitted_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,phi_fit_rad,fit_rmse_A
0.3C DC vs 0.3C+0.7C 0.1tau,0.46,4.942817896999713,3.336996672458099,1.6058212245416144,1.0442558391348484,3.898562057864865,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.47,0.9214491756795269,3.601895983526219,-2.6804468078466925,1.004908159562092,-0.08345898388256501,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.48,1.203735777059137,3.856260536688296,-2.6525247596291592,1.051475824538329,0.15225995252080793,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.49,1.4947607577196322,4.09557985398601,-2.6008190962663775,1.1121264991129465,0.38263425860668576,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.5,1.7979483974861523,4.313325878760907,-2.5153774812747542,1.1853491653839683,0.612599232102184,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.51,2.1111093486993013,4.499617491776007,-2.388508143076706,1.2696244974681576,0.8414848512311437,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.52,2.4275314219912616,4.638723782748684,-2.211192360757422,1.3745523764437166,1.052979045547545,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.53,2.7461978150706727,0.7041179814432326,2.04207983362744,1.487387041750253,1.2588107733204197,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.54,3.0656924145805533,0.9683013585167828,2.0973910560637705,1.5997968944709555,1.4658955201095978,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.55,3.384412072234227,1.2397515663462857,2.1446605058879413,1.7104841392431354,1.6739279329910914,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.56,3.6969186981600615,1.5165284689076088,2.1803902292524526,1.8181392335263808,1.8787794646336806,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.5700000000000001,3.999344095654351,1.796996719585195,2.202347376069156,1.9134679375788437,2.085876158075507,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.5800000000000001,4.285569036220068,2.079695241221316,2.2058737949987517,1.9706271148979795,2.314941921322088,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
