branch_id,search_term,variable_key
double_layer_differential,sei,X-averaged positive SEI on cracks thickness [m]
double_layer_differential,sei,X-averaged positive SEI thickness [m]
double_layer_differential,sei,X-averaged positive electrode SEI film overpotential [V]
double_layer_differential,sei,X-averaged positive electrode SEI interfacial current density [A.m-2]
double_layer_differential,sei,X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
double_layer_differential,sei,X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
double_layer_differential,sei,X-averaged positive electrode SEI volumetric interfacial current density [A.m-3]
double_layer_differential,crack,Loss of capacity to negative SEI on cracks [A.h]
double_layer_differential,crack,Loss of capacity to positive SEI on cracks [A.h]
double_layer_differential,crack,Loss of lithium to negative SEI on cracks [mol]
double_layer_differential,crack,Loss of lithium to positive SEI on cracks [mol]
double_layer_differential,crack,Negative SEI on cracks concentration [mol.m-3]
double_layer_differential,crack,Negative SEI on cracks thickness [m]
double_layer_differential,crack,Negative crack surface to volume ratio [m-1]
double_layer_differential,crack,Negative electrode SEI on cracks interfacial current density [A.m-2]
double_layer_differential,crack,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
double_layer_differential,crack,Negative particle crack length [m]
double_layer_differential,crack,Negative particle cracking rate [m.s-1]
double_layer_differential,crack,Positive SEI on cracks concentration [mol.m-3]
double_layer_differential,crack,Positive SEI on cracks thickness [m]
double_layer_differential,crack,Positive crack surface to volume ratio [m-1]
double_layer_differential,crack,Positive electrode SEI on cracks interfacial current density [A.m-2]
double_layer_differential,crack,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
double_layer_differential,crack,Positive particle crack length [m]
double_layer_differential,crack,Positive particle cracking rate [m.s-1]
double_layer_differential,crack,Volume-averaged negative SEI on cracks concentration [mol.m-3]
double_layer_differential,crack,Volume-averaged negative SEI on cracks thickness [m]
double_layer_differential,crack,Volume-averaged positive SEI on cracks concentration [mol.m-3]
double_layer_differential,crack,Volume-averaged positive SEI on cracks thickness [m]
double_layer_differential,crack,X-averaged negative SEI on cracks concentration [mol.m-3]
double_layer_differential,crack,X-averaged negative SEI on cracks thickness [m]
double_layer_differential,crack,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
double_layer_differential,crack,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
double_layer_differential,crack,X-averaged negative particle crack length [m]
double_layer_differential,crack,X-averaged negative particle cracking rate [m.s-1]
double_layer_differential,crack,X-averaged positive SEI on cracks concentration [mol.m-3]
double_layer_differential,crack,X-averaged positive SEI on cracks thickness [m]
double_layer_differential,crack,X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
double_layer_differential,crack,X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
double_layer_differential,crack,X-averaged positive particle crack length [m]
double_layer_differential,crack,X-averaged positive particle cracking rate [m.s-1]
double_layer_differential,surface potential difference,Negative electrode surface potential difference [V]
double_layer_differential,surface potential difference,Negative electrode surface potential difference at separator interface [V]
double_layer_differential,surface potential difference,Positive electrode surface potential difference [V]
double_layer_differential,surface potential difference,Positive electrode surface potential difference at separator interface [V]
double_layer_differential,surface potential difference,X-averaged negative electrode surface potential difference [V]
double_layer_differential,surface potential difference,X-averaged positive electrode surface potential difference [V]
