condition,kappa,tau_label,DC,AC,f_Hz,ablation,A_dt,avg_dt,Q_window_lo,Q_window_hi,Q_CC_min_ablation,window_exceeds_ablation_CC,n_valid_points,x_n_Q20,x_n_Q80_if_in_CC,Q80_in_CC,x_n_CC_end,sign,sign_baseline,flipped_vs_baseline
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,A2a,-8761.088299798934,-2.8482081598826183,1025.0,4101.0,4366.39312671888,False,80,0.2234591688810771,0.7487037003611386,True,0.7979125115498249,-,-,False
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,A2a,-25557.51779032168,-8.308685887620832,1025.0,4101.0,4343.1997087973095,False,80,0.22526927651480602,0.74559582800761,True,0.7941677432680616,-,-,False
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,A2a,-1104.5202587968465,-0.37067552925539454,1025.0,4004.749596677138,4052.8483477039467,True,80,0.22198068380230854,,False,0.742451267653766,-,-,False
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,A2a,-1699.9323564885017,-0.5848403729632476,1025.0,3931.660406967712,3997.803184596317,False,80,0.2259306993462088,,False,0.7353815749437096,-,-,False
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,A2a,-9906.657559069354,-3.7593664894575074,1025.0,3660.1933462328984,3708.299548986182,True,80,0.23270079567312268,,False,0.6930152922893384,-,-,False
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,A2a,-687.7332445306349,-0.2375466769707171,1025.0,3920.149927167423,3969.8388888868094,True,80,0.22295607936687056,,False,0.7293830962539769,-,-,False
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,A2a,-1235.6556676854188,-0.4354839156452462,1025.0,3862.431242103574,3911.1824238782733,True,80,0.22493072423194407,,False,0.7220783107494806,-,-,False
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,A2a,-7874.003469715283,-3.0585223372178927,1025.0,3599.446939262072,3650.5738439448824,False,80,0.2328112481591639,,False,0.6834572475496745,-,-,False
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,A2a,-509.58750395198973,-0.16566563847593943,1025.0,4101.0,4168.327593604219,False,80,0.22223388249258302,0.7493061257261073,True,0.7610814689290559,-,-,False
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,A2a,-867.8911470385601,-0.2849455948706553,1025.0,4070.813526025977,4121.723014500413,False,80,0.22188781616225256,0.7530716551699392,True,0.7559022313353705,-,-,False
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,A2a,-6637.415049332114,-2.312897591380606,1025.0,3894.740136384566,3943.730856556648,True,80,0.22789423316955537,,False,0.7289234174844604,-,-,False
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,A2a,-578.3595739990574,-0.2067458257757543,1025.0,3822.4425690527455,3872.356325672459,True,80,0.22700873509397737,,False,0.7150580910193174,-,-,False
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,A2a,-1105.1548870976387,-0.3981196726614309,1025.0,3800.936390456859,3851.535219707578,False,80,0.2278894539306321,,False,0.7129579424516678,-,-,False
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,A2a,-1228.5703002031541,-0.44469955492447194,1025.0,3787.6973910774777,3838.3662082566248,False,80,0.228820691789609,,False,0.7101801882223732,-,-,False
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,A2a,-3439.122760144981,-1.2787449695038422,1025.0,3714.4516437310976,3764.7143278968692,False,80,0.2278893228459438,,False,0.6996728972106557,-,-,False
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,A2a,-6535.659269430156,-2.5232304875762206,1025.0,3615.195109646213,3666.060780677115,False,80,0.2330362631606893,,False,0.6853102783949772,-,-,False
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,A2a,-549.0107680565775,-0.20367401400250057,1025.0,3720.536643421959,3811.47835165912,False,80,0.22192307462745584,,False,0.705598219633901,-,-,False
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,A2a,-792.383698446836,-0.31007294214117986,1025.0,3580.475150379469,3629.480947794729,True,80,0.2335288921894793,,False,0.678966523239463,-,-,False
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,A2a,-82.71725984913559,-0.03294287291627589,1025.0,3535.9303629759615,3585.504813766871,True,80,0.23223450884796198,,False,0.6717741818457068,0,0,False
