parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,delta_t_model_s,delta_t_model_min,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.1531440904607206,0.23062881809214414,0.28062881809214413,424.1356951741668,7.06892825290278,424.14174855944657,7.069029142657443,-0.006053385279756185,-0.00010088975466260308,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.188248893476078,0.23764977869521559,0.2876497786952156,475.36381358092194,7.922730226348699,475.3720166907642,7.92286694484607,-0.00820310984227035,-0.00013671849737117251,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.2233536964914353,0.24467073929828706,0.2946707392982871,514.1512495312741,8.5691874921879,514.1625060213591,8.569375100355986,-0.011256490085088444,-0.0001876081680848074,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.2584584995067927,0.25169169990135853,0.3016916999013585,119.39676490838838,1.989946081806473,119.39599140726659,1.98993319012111,0.0007735011217846477,1.2891685363077462e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.29356330252215,0.25871266050443,0.30871266050442997,176.45970277512515,2.9409950462520857,176.46102382598838,2.941017063766473,-0.0013210508632255369,-2.201751438709228e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.3286681055375074,0.2657336211075015,0.31573362110750147,235.00608199347062,3.91676803322451,235.0078857189742,3.9167980953162367,-0.0018037255035778799,-3.0062091726298e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.3637729085528647,0.27275458171057293,0.3227545817105729,293.9387358294257,4.898978930490428,293.9415505682646,4.899025842804409,-0.0028147388388788386,-4.691231398131398e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.398877711568222,0.27977554231364443,0.3297755423136444,352.30165874165914,5.871694312360986,352.3058510001624,5.87176418333604,-0.004192258503280755,-6.987097505467924e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.4339825145835794,0.2867965029167159,0.33679650291671587,408.9302607979798,6.815504346632997,408.93585136192223,6.815597522698704,-0.005590563942405424,-9.317606570675707e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.4690873175989367,0.2938174635197873,0.3438174635197873,461.8380398427207,7.697300664045345,461.84330135674054,7.697388355945676,-0.005261514019821334,-8.769190033035557e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.504192120614294,0.3008384241228588,0.3508384241228588,505.79544424975256,8.429924070829209,505.8061582066475,8.430102636777459,-0.010713956894960575,-0.00017856594824934292,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.5392969236296514,0.3078593847259303,0.35785938472593026,104.00073463847957,1.7333455773079929,104.00059305030209,1.7333432175050347,0.0001415881774846639,2.3598029580777316e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.5744017266450088,0.3148803453290018,0.36488034532900177,160.39130445771298,2.6731884076285497,160.39230037909329,2.6732050063182213,-0.0009959213803085731,-1.6598689671809553e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.6095065296603661,0.3219013059320732,0.3719013059320732,218.65046041069309,3.644174340178218,218.6521120049788,3.6442018667496465,-0.00165159428570405,-2.7526571428400834e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.6446113326757235,0.32892226653514467,0.37892226653514466,277.5714644069317,4.626191073448862,277.5738848529945,4.6262314142165755,-0.0024204460628425295,-4.0340767714042156e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.6797161356910808,0.33594322713821617,0.38594322713821616,336.1935812516713,5.603226354194521,336.19733779925446,5.6032889633209075,-0.003756547583179781,-6.260912638632969e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.7148209387064381,0.3429641877412876,0.3929641877412876,393.45197940174467,6.5575329900290775,393.45591532399794,6.557598588733299,-0.003935922253276658,-6.559870422127764e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.7499257417217955,0.3499851483443591,0.3999851483443591,447.6906539863967,7.461510899773278,447.69599540580975,7.461599923430162,-0.00534141941307098,-8.902365688451634e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.785030544737153,0.3570061089474306,0.4070061089474306,495.1455247245208,8.252425412075347,495.15716837476657,8.252619472912777,-0.011643650245787285,-0.00019406083742978808,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.8201353477525104,0.36402706955050207,0.41402706955050206,514.6672213988741,8.577787023314567,514.69850317092,8.578308386182,-0.031281772045986145,-0.0005213628674331024,0.1,4.277471558827524,0.1,0.25
