condition,kappa,tau_label,DC,AC,f_Hz,ablation,alpha,A_dt,avg_dt,Q_window_lo,Q_window_hi_strict,Q_CC_end_mAh,window_margin_to_CC,x_n_Q20,x_p_Q20,x_n_CC_end,x_p_CC_end,sign,status,infeasible_reason
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,baseline_asymBV,0.5,-7920.314865668672,-3.1379154806197067,1025.0,3549.0688968794307,3651.993042348506,102.92414546907548,0.2328661419117669,0.6802857690259795,0.6835914570901293,0.37916459369018407,-,valid,
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,baseline_asymBV,0.5,-514.959318952894,-0.16741200226036868,1025.0,4101.0,4168.278797162473,67.27879716247298,0.22232470191174636,0.7050944850319557,0.7610927280044008,0.34554940679558066,-,valid,
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,baseline_asymBV,0.5,-953.0357284022131,-0.31290022197967116,1025.0,4070.813526025977,4121.458715701864,50.645189675887195,0.2219326740357034,0.7069008419847622,0.7557689830907429,0.34803714580039213,-,valid,
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,baseline_asymBV,0.5,-6759.2778671501965,-2.3600864573009264,1025.0,3888.995870253131,3944.152298057463,55.156427804332,0.22792404266252442,0.6933961724073564,0.7287993929068102,0.35869616041584856,-,valid,
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,baseline_asymBV,0.5,-588.0472247172144,-0.21025713591172956,1025.0,3821.800318654056,3889.484723577517,67.68440492346099,0.22695962098389652,0.6937546895232007,0.7174078847448706,0.3686824102560599,-,valid,
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,baseline_asymBV,0.5,-1108.3998896105406,-0.39959972551896006,1025.0,3798.7754028010454,3851.598152095108,52.82274929406276,0.22798242149036732,0.6898839923171306,0.7128151073376314,0.36799252552475215,-,valid,
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,baseline_asymBV,0.5,-1216.7368723433942,-0.4492769313043004,1025.0,3733.2113226046863,3838.6098510894954,105.39852848480905,0.2286996113428987,0.6883962903185129,0.7101068391532814,0.3714804425920426,-,valid,
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,baseline_asymBV,0.5,-3492.7625471608585,-1.3001159164072362,1025.0,3711.5008751010614,3764.598988929071,53.098113828009446,0.22795132887904745,0.69416204805382,0.6996960365753614,0.37607115134947616,-,valid,
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,baseline_asymBV,0.5,-6767.3299634727755,-2.6294848770833865,1025.0,3598.6333463834444,3665.7478231466544,67.11447676320995,0.23303622435055402,0.6761566476160213,0.6853439498216712,0.379908741880025,-,valid,
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,baseline_asymBV,0.5,-570.3990294936419,-0.21179329479516432,1025.0,3718.187383695517,3810.653715676506,92.46633198098925,0.2220093371478745,0.6966999726130383,0.7057007207501619,0.36985282038959605,-,valid,
