parameter_set,model_type,condition,keyword,variable_key
Chen2020,DFN,DC03_AC07_10tau,particle concentration,R-averaged positive particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,X-averaged negative particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,X-averaged negative particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,particle concentration,X-averaged positive particle concentration
Chen2020,DFN,DC03_AC07_10tau,particle concentration,X-averaged positive particle concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Maximum negative particle surface concentration
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Maximum negative particle surface concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Maximum positive particle surface concentration
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Maximum positive particle surface concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Minimum negative particle Minimum negative particle surface concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Minimum negative particle surface concentration
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Minimum positive particle Minimum positive particle surface concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Minimum positive particle surface concentration
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Negative particle surface concentration
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Negative particle surface concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Positive particle surface concentration
Chen2020,DFN,DC03_AC07_10tau,surface concentration,Positive particle surface concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,surface concentration,X-averaged negative particle surface concentration
Chen2020,DFN,DC03_AC07_10tau,surface concentration,X-averaged negative particle surface concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,surface concentration,X-averaged positive particle surface concentration
Chen2020,DFN,DC03_AC07_10tau,surface concentration,X-averaged positive particle surface concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,Electrolyte concentration [Molar]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,Electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,Electrolyte concentration concatenation [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,Negative electrolyte concentration [Molar]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,Negative electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,Positive electrolyte concentration [Molar]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,Positive electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,Separator electrolyte concentration [Molar]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,Separator electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,X-averaged electrolyte concentration [Molar]
