condition,kappa,tau_label,DC,AC,f_Hz,ablation,A_dt,avg_dt,Q_window_lo,Q_window_hi,Q_CC_end_mAh,window_margin_to_CC,x_n_Q20,x_p_Q20,x_n_CC_end,x_p_CC_end,sign,dtQ_min,dtQ_max,dtQ_range,dtQ_n_cross,dtQ_fraction_positive,dtQ_mean_early,dtQ_mean_mid,dtQ_mean_late,status,infeasible_reason,trajectory_class,trajectory_class_robust
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,PE_A2a,-1164.5215528122326,-0.3785830795878519,1025.0,4101.0,4771.504822966861,670.504822966861,0.2202172377472766,0.7175884838044166,0.8631259564593435,0.2890640593522597,-,-0.7609033532446119,-0.0961258847497447,0.6647774684948672,0.0,0.0,-0.2292014186336805,-0.25485838255568,-0.648414327393903,valid,,downward_drift,weak_drift
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,PE_A2a,-833.3054009643669,-0.2709055269715107,1025.0,4101.0,4533.836753466119,432.83675346611926,0.2225634161541065,0.7088547837840451,0.8239416785658494,0.3090116762995214,-,-0.6204934787151009,-0.0640522396693389,0.5564412390457619,0.0,0.0,-0.0998863006327386,-0.1137126067936684,-0.5956495742485951,valid,,downward_drift,weak_drift
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,PE_A2a,-8757.666042455157,-2.847095592475669,1025.0,4101.0,4365.864675601168,264.8646756011676,0.223376907301785,0.7087144033219434,0.7979858544029985,0.3212602892325997,-,-5.437228969757431,-0.224408249636599,5.212820720120832,0.0,0.0,-3.0026720011783063,-2.8223595214906285,-2.795401676259218,valid,,upward_drift,upward_drift
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,PE_A2a,-25527.48695442468,-8.298922937069142,1025.0,4101.0,4342.274828729722,241.27482872972175,0.2252692762501612,0.69575382584728,0.7940430394587036,0.3183532070244258,-,-19.08425934451825,-0.0219112043819526,19.062348140136297,0.0,0.0,-7.434427406207756,-10.273916419431462,-7.057137090924965,valid,,upward_drift,weak_drift
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,PE_A2a,-1102.1189336104917,-0.3701063336697403,1025.0,4002.844023047586,4054.884002790922,52.03997974333606,0.2220696866750257,0.7110434981444438,0.7426534282047764,0.3640910448542788,-,-0.5949052698155053,-0.144228401658044,0.4506768681574613,0.0,0.0,-0.2365291891259079,-0.3641970844683206,-0.5046254443602962,valid,,downward_drift,weak_drift
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,PE_A2a,-1637.6501928823975,-0.5638100182980103,1025.0,3929.613504077171,3980.637988681347,51.02448460417645,0.225999808948766,0.702703612599434,0.7332512027928021,0.3674355123629764,-,-1.0938223886161116,-0.1133128728097138,0.9805095158063976,0.0,0.0,-0.4896164283637342,-0.5344708148425402,-0.6590065463298002,valid,,downward_drift,weak_drift
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,PE_A2a,-9833.55597892722,-3.767088276117178,1025.0,3635.3863934568817,3708.590423297161,73.20402984027942,0.2326570478682051,0.6847301512075098,0.6929685944561831,0.3808333941233831,-,-8.298176403990661,-0.0262536882649025,8.271922715725758,0.0,0.0,-3.787464864640639,-3.909495303121016,-3.611174977480932,valid,,upward_drift,weak_drift
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,PE_A2a,-647.6117641348202,-0.2241364010975383,1025.0,3914.3645162661296,3970.295842301914,55.93132603578442,0.2227886767667863,0.7048249639435065,0.729441929537552,0.3667314095732408,-,-0.3789364355950359,-0.074526895370756,0.3044095402242798,0.0,0.0,-0.1401136770753915,-0.2222551740354823,-0.3077418341255452,valid,,downward_drift,weak_drift
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,PE_A2a,-1259.501762811948,-0.4440823005947376,1025.0,3861.189961016593,3911.377225474559,50.187264457966194,0.2250680900115494,0.7029098383899229,0.7220836354339975,0.3695378156091846,-,-0.8766281984170443,-0.0861714061061017,0.7904567923109426,0.0,0.0,-0.3975458220201855,-0.4499108983254655,-0.4850237203484843,valid,,weak_drift,weak_drift
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,PE_A2a,-7903.782005500957,-3.131365397859226,1025.0,3549.0688968794307,3652.5004149456176,103.43151806618698,0.2328264567180512,0.6803265089407667,0.6835243485379323,0.3792038763763748,-,-7.02355757333277,-0.0136307139667223,7.009926859366048,0.0,0.0,-3.3795184510318403,-2.9067145030648103,-3.1700652298998055,valid,,upward_drift,upward_drift
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,PE_A2a,-516.2531122583379,-0.16783261126734,1025.0,4101.0,4168.340180964844,67.34018096484397,0.2222226825009904,0.705230547682228,0.7610739753411634,0.3455636313486208,-,-0.2601306182210161,-0.0785000506411127,0.1816305675799033,0.0,0.0,-0.1142843644778231,-0.168691966661758,-0.2190021744238184,valid,,downward_drift,flat
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,PE_A2a,-942.1613082593268,-0.3093299377025917,1025.0,4070.813526025977,4121.139435107658,50.32590908168095,0.2218798396409386,0.7069727360186117,0.7558744322716002,0.347989910851628,-,-0.5776162378256837,-0.0556232496123357,0.521992988213348,0.0,0.0,-0.3020609604709508,-0.3122759475726009,-0.3143344188638905,valid,,weak_drift,weak_drift
