protocol_pair,protocol_label_DCAC,file_name_DCAC,Q_label,Q_Ah,is_anchor,segment_label,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.33,False,A_shared_prescribed_current,8224.393430668077,8199.815235980554,24.578194687523137,8223.529411763519,8183.637999069399,39.891412694119936,-15.313218006596799,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.34,False,A_shared_prescribed_current,8259.691393835272,8210.988402797457,48.70299103781508,8258.823529410567,8242.721155171677,16.10237423888975,32.60061679892533,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.35,False,A_shared_prescribed_current,8294.989346895618,8269.961136039228,25.028210856389705,8294.117647057616,8253.6690034912,40.44864356641483,-15.420432710025125,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.36,False,A_shared_prescribed_current,8330.287324005845,8281.17579526663,49.11152873921492,8329.411764704664,8312.731152678409,16.680612026255403,32.430916712959515,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.3699999999999997,False,A_shared_prescribed_current,8365.585415128538,8340.106809762898,25.47860536564076,8364.705882351713,8323.703409856813,41.00247249489985,-15.523867129259088,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.38,False,A_shared_prescribed_current,8400.883476675028,8351.364395240824,49.519081434204054,8399.999999998761,8382.739508215021,17.26049178373978,32.25858965046427,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.3899999999999997,False,A_shared_prescribed_current,8436.181443461726,8410.25222226964,25.929221192085606,8435.29411764581,8393.741461874868,41.55265577094178,-15.623434578856177,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.4,False,A_shared_prescribed_current,8471.479560637821,8421.563335987736,49.916224650085496,8470.58823529286,8452.746351072794,17.841884220066277,32.07434043001922,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.4099999999999997,False,A_shared_prescribed_current,8506.777373007462,8480.397465511323,26.379907496138912,8505.882352939909,8463.7834198665,42.09893307340826,-15.719025577269349,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.42,False,A_shared_prescribed_current,8542.07532377378,8491.765811194213,50.309512579568036,8541.176470586957,8522.7518053415,18.42466524545671,31.884847334111328,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.4299999999999997,False,A_shared_prescribed_current,8577.373450215047,8550.540891487659,26.83255872738846,8576.470588234006,8533.829562356646,42.641025877359425,-15.808467149970966,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.44,False,A_shared_prescribed_current,8612.67134719751,8561.969570251866,50.70177694564518,8611.764705881056,8592.755990397685,19.008715483370906,31.693061462274272,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.4499999999999997,False,A_shared_prescribed_current,8647.969261311779,8620.684219938925,27.28504137285381,8647.058823528103,8603.880187835151,43.1786356929515,-15.89359432009769,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.46,False,A_shared_prescribed_current,8683.26729967952,8632.174711048332,51.092588631188846,8682.352941175153,8662.759021362888,19.593919812265085,31.49866881892376,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.4699999999999998,False,A_shared_prescribed_current,8718.565367424597,8690.827351796566,27.738015628030553,8717.647058822202,8673.935616710009,43.711442112193254,-15.973426484162701,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.48,False,A_shared_prescribed_current,8753.86335297758,8702.381242971893,51.48211000568699,8752.94117646925,8732.761009535156,20.180166934094814,31.301943071592177,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.4899999999999998,False,A_shared_prescribed_current,8789.161595549656,8760.970336160017,28.191259389639526,8788.235294116299,8743.996193478222,44.23910063807671,-16.04784124843718,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
