protocol_pair,Q_Ah,dt_resid_s,fp_err_DC_s,fp_err_DCAC_s,residual_reconstructed_s,reconstruction_error_s
0.3C DC vs 0.3C+0.7C 0.1tau,0.2,0.6089924534758211,0.08844255325050199,-0.5205499002253191,0.6089924534758211,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.21,0.6635512032929682,0.09215792783027155,-0.5713932754628104,0.6635512032930819,-1.1368683772161603e-13
0.3C DC vs 0.3C+0.7C 0.1tau,0.22,0.7158811799569094,0.09590081478063439,-0.619980365176275,0.7158811799569094,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.2299999999999999,0.7577699783383878,0.09963481337126723,-0.6581351649670069,0.7577699783382741,1.1368683772161603e-13
0.3C DC vs 0.3C+0.7C 0.1tau,0.24,0.7971033342225837,0.10342467822613344,-0.6936786559964503,0.7971033342225837,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.25,0.8285105123399035,0.1070604413299634,-0.7214500710099401,0.8285105123399035,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.26,0.8561621324442967,0.11079093930572981,-0.7453711931385669,0.8561621324442967,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.27,0.8658613925645113,0.11449524678573653,-0.7513661457787748,0.8658613925645113,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.28,0.8669851007574607,0.11832796094199693,-0.7486571398154638,0.8669851007574607,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.29,0.8492303241719128,0.12211719545746291,-0.7271131287144499,0.8492303241719128,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.3,1.0624499676519008,0.12581336307903257,-0.9366366045728682,1.0624499676519008,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.31,1.0006444432015087,0.12944272512027055,-0.8712017180812381,1.0006444432015087,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.32,0.8675436607331903,0.13304735140945922,-0.7344963093237311,0.8675436607331903,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.33,-3.194461720440131,0.13672596118726688,3.331187681627398,-3.194461720440131,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.3399999999999999,-3.104343776434689,0.1404797483062339,3.2448235247406956,-3.1043437764344617,-2.2737367544323206e-13
0.3C DC vs 0.3C+0.7C 0.1tau,0.35,-2.973815044423418,0.14411614894356717,3.117931193366985,-2.973815044423418,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.36,1.377459690323121,0.14777821127290736,-1.229681479050214,1.3774596903231213,-2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,0.37,1.4488588986137074,0.1514297707140031,-1.2974291278997043,1.4488588986137074,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.38,1.515130896075334,0.15510409917874313,-1.360026796896591,1.515130896075334,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.39,1.5678280111810636,0.15892128191558186,-1.4089067292654818,1.5678280111810636,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.4,1.6115821078401495,0.16275457910705882,-1.4488275287330907,1.6115821078401495,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.41,1.645048018405987,0.16657951674346805,-1.478468501662519,1.645048018405987,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.42,1.6684969615951104,0.17034616506384737,-1.498150796531263,1.6684969615951104,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.43,1.6773315131003983,0.17416790264132942,-1.5031636104590689,1.6773315131003983,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.44,1.6727149750672652,0.1778072930737835,-1.4949076819934817,1.6727149750672652,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.45,1.6542588475190314,0.18136381454360162,-1.4728950329754298,1.6542588475190314,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.46,1.6058212245416144,0.1847985428616994,-1.421022681679915,1.6058212245416144,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.47,-2.6804468078466925,0.1884214205117587,2.8688682283584512,-2.6804468078466925,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.48,-2.6525247596291592,0.19198943937908552,2.8445141990082448,-2.6525247596291592,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.49,-2.6008190962663775,0.1955062940130574,2.796325390279435,-2.6008190962663775,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.5,-2.5153774812747542,0.1989363873287857,2.71431386860354,-2.5153774812747542,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.51,-2.388508143076706,0.20230531733272983,2.5908134604094357,-2.388508143076706,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.52,-2.211192360757422,0.2056595862809445,2.416851947038367,-2.2111923607574226,4.440892098500626e-16
