t_s,I_charge_A,I_py_A,Q_geom_Ah,AC_C_scheduled,condition
137.0,1.5,-1.5,0.05708333333333333,0.0,Chen2020_DFN_Day34_DC03
137.5,1.5,-1.5,0.057291666666666664,0.0,Chen2020_DFN_Day34_DC03
138.0,1.5,-1.5,0.0575,0.0,Chen2020_DFN_Day34_DC03
138.5,1.5,-1.5,0.057708333333333334,0.0,Chen2020_DFN_Day34_DC03
139.0,1.5,-1.5,0.057916666666666665,0.0,Chen2020_DFN_Day34_DC03
139.5,1.5,-1.5,0.058125,0.0,Chen2020_DFN_Day34_DC03
140.0,1.5,-1.5,0.058333333333333334,0.0,Chen2020_DFN_Day34_DC03
140.5,1.5,-1.5,0.058541666666666665,0.0,Chen2020_DFN_Day34_DC03
141.0,1.5,-1.5,0.05875,0.0,Chen2020_DFN_Day34_DC03
141.5,1.5,-1.5,0.058958333333333335,0.0,Chen2020_DFN_Day34_DC03
142.0,1.5,-1.5,0.059166666666666666,0.0,Chen2020_DFN_Day34_DC03
142.5,1.5,-1.5,0.059375,0.0,Chen2020_DFN_Day34_DC03
143.0,1.5,-1.5,0.059583333333333335,0.0,Chen2020_DFN_Day34_DC03
143.5,1.5,-1.5,0.05979166666666667,0.0,Chen2020_DFN_Day34_DC03
144.0,1.5,-1.5,0.06,0.0,Chen2020_DFN_Day34_DC03
144.5,1.5,-1.5,0.060208333333333336,0.0,Chen2020_DFN_Day34_DC03
145.0,1.5,-1.5,0.06041666666666667,0.0,Chen2020_DFN_Day34_DC03
145.5,1.5,-1.5,0.060625,0.0,Chen2020_DFN_Day34_DC03
146.0,1.5,-1.5,0.060833333333333336,0.0,Chen2020_DFN_Day34_DC03
146.5,1.5,-1.5,0.06104166666666667,0.0,Chen2020_DFN_Day34_DC03
147.0,1.5,-1.5,0.06125,0.0,Chen2020_DFN_Day34_DC03
147.5,1.5,-1.5,0.06145833333333333,0.0,Chen2020_DFN_Day34_DC03
148.0,1.5,-1.5,0.06166666666666667,0.0,Chen2020_DFN_Day34_DC03
148.5,1.5,-1.5,0.061875,0.0,Chen2020_DFN_Day34_DC03
149.0,1.5,-1.5,0.06208333333333333,0.0,Chen2020_DFN_Day34_DC03
149.5,1.5,-1.5,0.06229166666666667,0.0,Chen2020_DFN_Day34_DC03
150.0,1.5,-1.5,0.0625,0.0,Chen2020_DFN_Day34_DC03
150.5,1.5,-1.5,0.06270833333333334,0.0,Chen2020_DFN_Day34_DC03
151.0,1.5,-1.5,0.06291666666666666,0.0,Chen2020_DFN_Day34_DC03
151.5,1.5,-1.5,0.063125,0.0,Chen2020_DFN_Day34_DC03
152.0,1.5,-1.5,0.06333333333333334,0.0,Chen2020_DFN_Day34_DC03
152.5,1.5,-1.5,0.06354166666666666,0.0,Chen2020_DFN_Day34_DC03
153.0,1.5,-1.5,0.06375,0.0,Chen2020_DFN_Day34_DC03
153.5,1.5,-1.5,0.06395833333333334,0.0,Chen2020_DFN_Day34_DC03
154.0,1.5,-1.5,0.06416666666666666,0.0,Chen2020_DFN_Day34_DC03
154.5,1.5,-1.5,0.064375,0.0,Chen2020_DFN_Day34_DC03
155.0,1.5,-1.5,0.06458333333333334,0.0,Chen2020_DFN_Day34_DC03
155.5,1.5,-1.5,0.06479166666666666,0.0,Chen2020_DFN_Day34_DC03
156.0,1.5,-1.5,0.065,0.0,Chen2020_DFN_Day34_DC03
156.5,1.5,-1.5,0.06520833333333333,0.0,Chen2020_DFN_Day34_DC03
157.0,1.5,-1.5,0.06541666666666666,0.0,Chen2020_DFN_Day34_DC03
157.5,1.5,-1.5,0.065625,0.0,Chen2020_DFN_Day34_DC03
158.0,1.5,-1.5,0.06583333333333333,0.0,Chen2020_DFN_Day34_DC03
158.5,1.5,-1.5,0.06604166666666667,0.0,Chen2020_DFN_Day34_DC03
159.0,1.5,-1.5,0.06625,0.0,Chen2020_DFN_Day34_DC03
159.5,1.5,-1.5,0.06645833333333333,0.0,Chen2020_DFN_Day34_DC03
160.0,1.5,-1.5,0.06666666666666667,0.0,Chen2020_DFN_Day34_DC03
160.5,1.5,-1.5,0.066875,0.0,Chen2020_DFN_Day34_DC03
161.0,1.5,-1.5,0.06708333333333333,0.0,Chen2020_DFN_Day34_DC03
