condition,Q_Ah,t_q_s,neg_avg_sto,neg_avg_surface_sto,neg_max_surface_sto,neg_min_surface_sto,pos_avg_sto,pos_avg_surface_sto,elyte_c_mean,elyte_c_range,eta_n_mean,eta_p_mean,j_n_rms,j_p_rms,cell_temperature_K,total_heating_mean,neg_surface_minus_avg_sto,pos_surface_minus_avg_sto,neg_surface_sto_range
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.0395167095645583,2361.2375302197,0.24908789021779035,0.26220098087764343,0.2940459110291535,0.2457487843161476,0.7053251246824751,0.6680075749737451,956.8140238335537,939.1244567254963,-0.08818794600215031,0.010311507126637427,-1.296722966551147,1.4681733397426775,298.15,0.0,0.013113090659853091,-0.037317549708729976,0.048297126713005935
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.0794936957342993,2548.1827820487615,0.25593952882035387,0.26511728796561423,0.29033639593070293,0.2517021344973349,0.7007526033902893,0.6752501654677443,972.0500550012534,566.8807846267963,-0.08568420250525907,0.01123170846022245,-1.3505005291203585,1.5290618858899372,298.15,0.0,0.009177759145260332,-0.02550243792254504,0.03863426143336805
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.11947068190404,2577.6632868888696,0.26279818292324064,0.2757640310714124,0.30569764194749127,0.26019610530052256,0.6961754002217727,0.6606384207895079,958.0646351010869,897.5189569514948,-0.09213688089932869,0.011438594813718204,-1.4441190207175967,1.6350584880371406,298.15,0.0,0.012965848148171751,-0.03553697943226482,0.04550153664696874
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.1594476680737809,2615.594680927863,0.26965644156214874,0.2801709941234231,0.3111646959037036,0.264038353342334,0.6915984609707739,0.6561881311207126,962.8030426219848,823.4294093408442,-0.05715833338137967,0.005537362553946349,-0.6884622031524208,0.7794897462166531,298.15,0.0,0.010514552561274329,-0.03541032985006121,0.04712634256136961
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.1994246542435218,2794.85293052652,0.2765349784163175,0.288607342865227,0.3165796534524399,0.27420836054360664,0.6870079888152523,0.6544377124219538,961.6386896006512,806.0493749412907,-0.09176823643480102,0.011837834225212982,-1.4881777990093799,1.6849426585122835,298.15,0.0,0.01207236444890947,-0.03257027639329848,0.04237129290883325
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.2394016404132626,2826.1707158918807,0.2833933444283992,0.29607756887037,0.3278798883240464,0.2800152555985827,0.6824309779075091,0.6448443344933419,957.592518756426,932.1257256086784,-0.07970535896369252,0.008892751723665906,-1.132537179255985,1.2822797160916086,298.15,0.0,0.012684224441970832,-0.037586643414167224,0.047864632725463714
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.2793786265830036,3012.01595792537,0.2902657825356206,0.30079197921641404,0.32744881831493544,0.28740426091174015,0.6778445758222129,0.6492513124946123,967.347048881956,672.270882570689,-0.08788593137517077,0.011570508110814058,-1.4370865989288772,1.627096248939227,298.15,0.0,0.010526196680793482,-0.02859326332760061,0.04004455740319531
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.3193556127527444,3041.4480029321503,0.297124249376998,0.3102834039259286,0.34269260016431663,0.29452745861299773,0.6732674976248579,0.6364202343174301,957.3211673951183,925.5398579703035,-0.08765419341500738,0.01060973932997163,-1.3624548201799254,1.5425967571683663,298.15,0.0,0.013159154548930619,-0.036847263307427894,0.04816514155131888
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.3593325989224854,3228.350868572586,0.3040044952067914,0.3123095904159574,0.33893507880958007,0.29944619168913467,0.6686758849644311,0.6450421391083229,975.3875358758718,495.25199129525106,-0.0799872610481639,0.010536158213078975,-1.281618209548861,1.4510720390002967,298.15,0.0,0.008305095209166015,-0.02363374585610815,0.039488887120445404
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,1.3993095850922261,3258.2571148385014,0.3108631662993938,0.3235893152526903,0.35699141667804946,0.30798515449868413,0.6640986704576294,0.6294828564343642,959.6342031610745,860.4080568485367,-0.08989162269910926,0.011458251661640821,-1.4705966244942523,1.6650369248512626,298.15,0.0,0.012726148953296473,-0.034615814023265204,0.0490062621793653
