protocol_pair,Q_Ah,dt_raw_s,dt_geom_s,dt_resid_s,abs_resid_s,t_DCAC_s,t_geom_DCAC_s,T_AC_s,geometry_phase_offset_rad,geom_prev_max_Q_Ah,geom_prev_max_time_s,geom_prev_max_deficit_mAh,geom_prev_max_lead_time_s,near_miss_deficit_le_1mAh,branch_jump_time_ge_0p25TAC,branch_jump_artifact_candidate
0.3C DC vs 0.3C+0.7C 0.1tau,0.56,3.6969186981600615,1.5165284689076088,2.1803902292524526,2.1803902292524526,1972.9932263216035,1974.954059766344,6.974335690969341,0.1162389281828226,0.5598647574969733,1974.8000000000002,0.13524250302676677,0.15405976634383478,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.15,1.0648487150724577,-1.115427043425825,2.180275758498283,2.180275758498283,4058.187784657133,4059.93895645517,6.974335690969341,0.1162389281828226,1.1498076840037184,4055.5,0.1923159962815557,4.438956455169773,True,True,True
0.3C DC vs 0.3C+0.7C 0.1tau,2.35,-2.0697327576126554,0.1103839257011713,-2.180116683313827,2.180116683313827,8297.05907965323,8294.007263131914,6.974335690969341,0.1162389281828226,2.349393919579066,8293.3,0.6060804209342407,0.7072631319151697,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.28,0.2832233207682293,2.4529274971737323,-2.169704176405503,2.169704176405503,8047.6204182867905,8044.605896031099,6.974335690969341,0.1162389281828226,2.279918709364644,8044.299999999999,0.08129063535600167,0.3058960311000192,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.13,0.1921169357492544,2.360062913586262,-2.1679459778370074,2.1679459778370074,7518.243146256,7515.286995908954,6.974335690969341,0.1162389281828226,2.1297638750925882,7514.299999999999,0.23612490741165004,0.9869959089546683,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.36,-1.75424568193921,0.3920736110594589,-2.146319292998669,2.146319292998669,8332.041569687784,8329.019691093605,6.974335690969341,0.1162389281828226,2.3593728467394404,8328.3,0.6271532605595098,0.7196910936054337,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.55,3.384412072234227,1.2397515663462857,2.1446605058879413,2.1446605058879413,1938.0081465954015,1939.9367190218427,6.974335690969341,0.1162389281828226,0.5498809585613084,1939.8000000000002,0.11904143869168049,0.1367190218425094,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.6200000000000001,1.0643338090449106,3.203405210806068,-2.139071401761157,2.139071401761157,2187.412592307404,2185.031888906822,6.974335690969341,0.1162389281828226,0.6198241936320926,2184.8,0.17580636790748283,0.2318889068219505,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.11,0.1311944334706822,2.260876350810122,-2.1296819173394397,2.1296819173394397,3917.930906426762,3915.386182472738,6.974335690969341,0.1162389281828226,1.1093473966343972,3914.5,0.6526033656029107,0.8861824727378007,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.63,1.3447294876323213,3.473367022734692,-2.1286375351023707,2.1286375351023707,2222.4299275251396,2220.0560447419557,6.974335690969341,0.1162389281828226,0.6298172896945222,2219.8,0.18271030547778455,0.2560447419555203,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.6000000000000001,4.758594381324656,2.6461458322974067,2.112448549027249,2.112448549027249,2113.1229071239745,2115.0009129912055,6.974335690969341,0.1162389281828226,0.5998336949997407,2114.8,0.16630500025938133,0.20091299120531403,True,False,False
